DP1_0001C,DP4_0001C,DP1_0135C,DP3_0151C,DP3_0005C,DP4_0125C,DP4_0126C,DP2_0008C,DP2_0009C,DP3_0068C,DP1_0024C,DP1_0002C,DP1_0003C,DP1_0004C,DP1_0005C,DP2_0102C,DP1_0141C,DP1_0143C,DP2_0178C,DP2_0182C,DP2_0185C,DP2_0188C,DP2_0191C,DP2_0151C,DP4_0022C,DP4_0023C,DP4_0024C,DP4_0025C,DP4_0083C,DP4_0084C,DP4_0077C,DP1_0128C,DP3_0151P,DP3_0009P,DP4_0125P,DP4_0126P,DP2_0008P,DP2_0009P,DP3_0068P,DP1_0024P,DP1_0002P,DP1_0003P,DP1_0004P,DP1_0005P,DP2_0101P,NAME_x,state,place,DP1_0141P,DP1_0143P,DP2_0178P,DP2_0182P,DP2_0185P,DP2_0188P,DP2_0191P,DP2_0151P,DP4_0022P,DP4_0023P,DP4_0024P,DP4_0025P,DP4_0083P,DP4_0084P,DP4_0077P,DP1_0128P,NAME_y
3638,1214,1031,553.0,176.0,32.0,98.0,97.0,227.0,644.0,515,196,223,246,304,558.0,22,38,703.0,67.0,427.0,109.0,99.0,1426.0,1.0,1.0,0.0,2.0,104.0,56.0,13.0,6,15.3,10.2,4.6,14.0,4.1,9.5,18.0,14.2,5.4,6.1,6.8,8.4,100.0,,66,00100,2.1,3.7,20.5,3.2,20.5,5.2,4.7,100.0,0.1,0.1,0.0,0.2,10.1,5.4,1.3,0.2,
771,275,248,180.0,55.0,4.0,25.0,11.0,57.0,119.0,83,54,57,63,62,124.0,18,17,49.0,15.0,18.0,5.0,11.0,130.0,6.0,5.0,59.0,1.0,17.0,21.0,6.0,0,23.4,16.4,2.9,17.9,2.3,11.8,16.0,10.8,7.0,7.4,8.2,8.0,100.0,,66,00850,7.3,6.9,6.8,5.5,6.5,1.8,4.0,100.0,2.2,1.8,21.5,0.4,6.9,8.5,2.4,0.0,
3616,1210,1078,553.0,165.0,22.0,72.0,69.0,223.0,467.0,465,233,242,302,282,551.0,39,82,329.0,93.0,72.0,131.0,27.0,593.0,65.0,43.0,83.0,1.0,101.0,84.0,55.0,34,15.5,10.1,3.7,12.0,3.0,9.7,13.3,12.9,6.4,6.7,8.4,7.8,100.0,,66,04000,3.6,7.6,9.8,6.1,4.8,8.6,1.8,100.0,5.4,3.6,6.9,0.1,9.4,7.8,5.1,0.9,
3292,1149,947,749.0,195.0,18.0,57.0,78.0,263.0,456.0,474,262,253,261,254,606.0,48,68,373.0,87.0,144.0,112.0,26.0,734.0,40.0,4.0,60.0,6.0,105.0,75.0,65.0,14,23.0,14.3,3.5,11.1,3.8,12.9,14.1,14.4,8.0,7.7,7.9,7.7,100.0,,66,06600,5.1,7.2,12.4,5.8,9.7,7.5,1.7,100.0,3.5,0.3,5.2,0.5,11.1,7.9,6.9,0.4,
2385,678,592,503.0,118.0,16.0,54.0,66.0,172.0,442.0,217,203,234,205,181,286.0,37,54,399.0,36.0,196.0,157.0,5.0,926.0,1.0,0.0,0.0,8.0,77.0,75.0,20.0,5,21.4,12.2,4.3,14.7,4.9,12.7,19.0,9.1,8.5,9.8,8.6,7.6,100.0,,66,07600,6.3,9.1,18.4,2.7,14.6,11.7,0.4,100.0,0.1,0.0,0.0,1.2,13.1,12.7,3.4,0.2,
1973,670,435,39.0,5.0,0.0,0.0,5.0,9.0,52.0,22,176,155,117,146,23.0,6,12,43.0,0.0,34.0,4.0,4.0,93.0,4.0,0.0,1.0,1.0,10.0,5.0,7.0,580,21.4,6.6,,,4.5,8.0,29.4,1.1,8.9,7.9,5.9,7.4,100.0,,66,07900,1.4,2.8,26.2,0.0,33.3,3.9,3.9,100.0,7.7,0.0,1.9,1.9,19.2,9.6,13.5,29.4,
5224,2443,2023,,,,,,,,653,264,319,350,274,,36,172,,,,,,,,,,,,,,19,,,,,,,,12.5,5.1,6.1,6.7,5.2,,,66,09500,1.8,8.5,,,,,,,,,,,,,,0.4,
2930,809,627,34.0,4.0,0.0,0.0,5.0,3.0,11.0,12,275,314,228,158,9.0,10,29,14.0,0.0,4.0,5.0,1.0,21.0,0.0,1.0,1.0,0.0,7.0,0.0,3.0,830,33.3,14.3,,,8.9,5.4,12.8,0.4,9.4,10.7,7.8,5.4,100.0,,66,09850,1.6,4.6,15.9,0.0,12.1,15.2,3.0,100.0,0.0,3.0,3.0,0.0,21.2,0.0,9.1,28.3,
860,270,242,180.0,38.0,4.0,17.0,9.0,62.0,109.0,92,70,76,78,61,93.0,10,22,78.0,22.0,8.0,43.0,5.0,148.0,1.0,0.0,0.0,2.0,28.0,13.0,3.0,7,21.5,9.9,2.8,11.9,1.8,12.5,13.2,10.7,8.1,8.8,9.1,7.1,100.0,,66,12450,4.1,9.1,10.1,6.2,2.3,12.2,1.4,100.0,0.4,0.0,0.0,0.8,11.8,5.5,1.3,0.8,
3921,1056,929,972.0,251.0,34.0,93.0,122.0,380.0,741.0,346,302,322,380,341,514.0,30,116,729.0,99.0,497.0,109.0,22.0,1345.0,1.0,1.0,0.0,8.0,157.0,147.0,63.0,6,24.9,14.4,5.1,14.1,5.4,16.7,19.1,8.8,7.7,8.2,9.7,8.7,100.0,,66,15800,3.2,12.5,20.2,4.7,23.7,5.2,1.0,100.0,0.1,0.1,0.0,0.8,16.9,15.9,6.8,0.2,
3559,1144,922,631.0,107.0,36.0,93.0,61.0,181.0,596.0,410,279,268,309,305,482.0,37,70,396.0,116.0,110.0,119.0,46.0,668.0,5.0,4.0,1.0,4.0,96.0,65.0,29.0,3,17.8,7.2,5.4,14.1,2.9,8.5,17.0,11.5,7.8,7.5,8.7,8.6,100.0,,66,17000,4.0,7.6,12.1,7.4,7.1,7.6,2.9,100.0,0.4,0.4,0.1,0.4,10.4,7.1,3.2,0.1,
2239,727,593,281.0,64.0,21.0,64.0,53.0,78.0,335.0,364,111,142,160,154,245.0,13,42,345.0,21.0,142.0,49.0,128.0,720.0,1.0,15.0,0.0,9.0,39.0,24.0,12.0,213,14.0,6.9,5.5,16.8,4.0,5.9,16.9,16.3,5.0,6.3,7.1,6.9,100.0,,66,18300,2.2,7.1,18.1,2.1,14.4,5.0,13.0,100.0,0.1,2.1,0.0,1.2,6.6,4.1,2.0,9.5,
2524,840,584,781.0,122.0,13.0,54.0,103.0,247.0,566.0,200,218,246,242,217,280.0,30,59,704.0,61.0,308.0,311.0,23.0,954.0,1.0,0.0,1.0,15.0,95.0,95.0,39.0,0,31.4,12.4,3.5,14.6,7.3,17.5,22.8,7.9,8.6,9.7,9.6,8.6,100.0,,66,24500,5.1,10.1,30.8,4.3,21.8,22.0,1.6,100.0,0.1,0.0,0.1,1.8,16.4,16.4,6.7,0.0,
3826,1138,1077,523.0,160.0,24.0,125.0,59.0,197.0,436.0,389,212,250,369,309,445.0,35,72,252.0,74.0,76.0,59.0,43.0,574.0,1.0,3.0,4.0,4.0,101.0,52.0,30.0,20,13.8,9.1,3.0,15.7,2.5,8.2,11.6,10.2,5.5,6.5,9.6,8.1,100.0,,66,25450,3.2,6.7,7.0,4.7,4.8,3.7,2.7,100.0,0.1,0.3,0.4,0.4,9.4,4.8,2.8,0.5,
6855,2157,1869,1887.0,313.0,30.0,138.0,307.0,436.0,1621.0,1050,373,522,548,618,1085.0,53,156,1817.0,117.0,1001.0,468.0,222.0,3134.0,22.0,3.0,9.0,44.0,260.0,157.0,146.0,40,27.7,11.0,3.9,17.9,7.2,10.2,23.9,15.3,5.4,7.6,8.0,9.0,100.0,,66,27400,2.8,8.3,28.2,2.7,23.2,10.8,5.1,100.0,1.0,0.1,0.4,2.0,13.9,8.4,7.8,0.6,
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,66,29350,,,,,,,,,,,,,,,,,
943,407,344,,,,,,,,138,60,60,39,71,,11,26,,,,,,,,,,,,,,56,,,,,,,,14.6,6.4,6.4,4.1,7.5,,,66,34750,3.2,7.6,,,,,,,,,,,,,,5.9,
1389,363,356,,,,,,,,113,40,66,51,48,,12,20,,,,,,,,,,,,,,410,,,,,,,,8.1,2.9,4.8,3.7,3.5,,,66,35000,3.4,5.6,,,,,,,,,,,,,,29.5,
896,235,218,232.0,41.0,8.0,19.0,12.0,71.0,120.0,85,93,87,80,56,97.0,20,18,66.0,33.0,6.0,23.0,2.0,62.0,1.0,1.0,0.0,1.0,30.0,20.0,12.0,6,26.3,11.7,5.6,13.3,2.4,13.9,13.6,9.5,10.4,9.7,8.9,6.3,100.0,,66,35850,9.2,8.3,8.3,10.0,1.8,7.0,0.6,100.0,0.4,0.4,0.0,0.4,13.8,9.2,5.5,0.7,
1153,371,348,109.0,41.0,14.0,45.0,29.0,34.0,146.0,114,64,86,95,70,113.0,6,5,51.0,26.0,14.0,1.0,10.0,112.0,0.0,0.0,0.0,9.0,22.0,10.0,3.0,2,9.6,7.8,5.7,18.2,3.9,4.6,13.5,9.9,5.6,7.5,8.2,6.1,100.0,,66,36600,1.7,1.4,4.7,7.6,4.1,0.3,2.9,100.0,0.0,0.0,0.0,2.4,6.4,2.9,0.9,0.2,
4653,1694,1337,866.0,188.0,26.0,115.0,206.0,214.0,1090.0,829,245,233,354,368,731.0,37,93,1411.0,58.0,1029.0,126.0,189.0,2561.0,33.0,47.0,113.0,41.0,169.0,94.0,51.0,4,18.7,8.8,3.2,14.4,6.6,6.9,23.6,17.8,5.3,5.0,7.6,7.9,100.0,,66,41300,2.8,7.0,32.0,1.9,33.1,4.1,6.1,100.0,1.9,2.8,6.7,2.4,12.6,7.0,3.8,0.1,
3643,947,847,1010.0,178.0,11.0,77.0,134.0,180.0,774.0,322,309,319,303,309,503.0,36,116,892.0,22.0,668.0,192.0,7.0,1803.0,73.0,1.0,8.0,5.0,161.0,108.0,46.0,3,27.8,11.2,2.1,14.5,6.4,8.6,21.4,8.8,8.5,8.8,8.3,8.5,100.0,,66,42470,4.3,13.7,26.8,1.0,29.9,8.6,0.3,100.0,7.7,0.1,0.8,0.5,19.0,12.8,5.4,0.1,
3246,825,729,946.0,160.0,8.0,52.0,85.0,184.0,590.0,175,335,356,356,272,241.0,57,130,655.0,33.0,342.0,262.0,14.0,1313.0,18.0,3.0,54.0,12.0,155.0,96.0,28.0,3,29.3,12.5,2.8,18.4,5.0,10.8,18.5,5.4,10.3,11.0,11.0,8.4,100.0,,66,42480,7.8,17.8,22.6,1.8,18.8,14.4,0.8,100.0,2.2,0.4,6.6,1.5,21.3,13.2,3.8,0.1,
5809,1729,1474,1153.0,291.0,31.0,92.0,235.0,347.0,1366.0,623,424,406,421,499,666.0,55,130,1557.0,32.0,1187.0,291.0,46.0,3065.0,54.0,6.0,2.0,12.0,272.0,158.0,50.0,106,20.3,11.2,4.2,12.5,6.7,9.9,24.2,10.7,7.3,7.0,7.2,8.6,100.0,,66,42490,3.7,8.8,29.5,0.9,32.0,7.9,1.2,100.0,3.1,0.3,0.1,0.7,18.5,10.7,3.4,1.8,
3500,1223,1018,666.0,123.0,25.0,65.0,156.0,224.0,839.0,408,210,227,264,287,450.0,28,88,910.0,82.0,531.0,107.0,181.0,1601.0,109.0,38.0,60.0,23.0,134.0,82.0,32.0,6,19.1,7.2,5.5,14.4,6.9,10.0,24.2,11.7,6.0,6.5,7.5,8.2,100.0,,66,43300,2.8,8.6,27.8,3.8,24.9,5.0,8.5,100.0,8.9,3.1,4.9,1.9,13.2,8.1,3.1,0.2,
676,257,210,78.0,33.0,2.0,22.0,12.0,43.0,92.0,108,44,31,50,60,102.0,9,9,34.0,10.0,9.0,6.0,9.0,68.0,0.0,0.0,0.0,1.0,16.0,9.0,7.0,0,11.6,10.1,1.3,14.3,2.7,9.7,13.8,16.0,6.5,4.6,7.4,8.9,100.0,,66,43650,4.3,4.3,5.4,4.0,3.6,2.4,3.6,100.0,0.0,0.0,0.0,0.4,7.7,4.3,3.3,0.0,
685,303,255,182.0,21.0,1.0,12.0,12.0,64.0,172.0,53,68,40,36,42,71.0,16,26,190.0,32.0,37.0,84.0,31.0,250.0,71.0,109.0,14.0,0.0,25.0,17.0,16.0,0,26.6,6.6,2.1,25.0,2.7,14.6,25.8,7.7,9.9,5.8,5.3,6.1,100.0,,66,44300,6.3,10.2,30.8,9.1,10.5,23.9,8.8,100.0,23.4,36.0,4.6,0.0,9.8,6.7,6.3,0.0,
1154,289,276,236.0,45.0,11.0,44.0,29.0,95.0,98.0,97,77,91,121,116,146.0,11,20,60.0,39.0,8.0,9.0,1.0,61.0,0.0,1.0,0.0,3.0,42.0,37.0,11.0,0,20.6,9.8,5.1,20.6,4.4,14.5,8.6,8.4,6.7,7.9,10.5,10.1,100.0,,66,44500,4.0,7.2,5.6,7.3,1.5,1.7,0.2,100.0,0.0,0.3,0.0,1.0,15.3,13.5,4.0,0.0,
5145,1785,1393,689.0,195.0,51.0,167.0,83.0,268.0,694.0,543,324,307,350,340,671.0,53,98,524.0,127.0,139.0,168.0,84.0,953.0,82.0,120.0,221.0,5.0,99.0,81.0,79.0,700,15.6,9.9,6.3,20.5,2.9,9.4,15.9,10.6,6.3,6.0,6.8,6.6,100.0,,66,45600,3.8,7.0,12.7,6.1,6.7,8.1,4.0,100.0,4.6,6.7,12.4,0.3,7.1,5.8,5.7,13.6,
4653,1578,1230,900.0,172.0,33.0,108.0,173.0,273.0,1052.0,470,299,296,372,395,498.0,42,81,1250.0,55.0,883.0,270.0,30.0,2258.0,24.0,22.0,41.0,2.0,155.0,92.0,29.0,21,19.6,8.5,4.6,15.2,6.1,9.6,23.4,10.1,6.4,6.4,8.0,8.5,100.0,,66,47800,3.4,6.6,29.0,1.9,30.7,9.4,1.0,100.0,1.5,1.4,2.6,0.1,12.7,7.5,2.4,0.5,
1538,451,396,417.0,76.0,10.0,53.0,49.0,143.0,218.0,169,116,122,151,131,238.0,14,55,123.0,60.0,12.0,48.0,2.0,184.0,1.0,17.0,0.0,3.0,49.0,42.0,36.0,1,27.2,14.3,3.8,20.2,5.5,16.1,14.3,11.0,7.5,7.9,9.8,8.5,100.0,,66,49500,3.5,13.9,8.7,8.4,1.7,6.7,0.3,100.0,0.2,3.8,0.0,0.7,12.4,10.6,9.1,0.1,
2998,1047,905,486.0,109.0,29.0,105.0,108.0,147.0,616.0,384,163,194,206,252,411.0,13,75,746.0,30.0,444.0,78.0,185.0,1509.0,66.0,25.0,56.0,32.0,92.0,31.0,28.0,0,16.3,7.3,5.2,18.7,5.5,7.4,20.8,12.8,5.4,6.5,6.9,8.4,100.0,,66,50500,1.4,8.3,26.4,1.6,23.9,4.2,10.0,100.0,6.3,2.4,5.4,3.1,10.2,3.4,3.1,0.0,
3123,1173,949,816.0,158.0,18.0,64.0,72.0,216.0,561.0,362,222,256,259,260,464.0,42,128,651.0,135.0,211.0,224.0,74.0,859.0,149.0,113.0,32.0,6.0,104.0,68.0,61.0,32,26.5,12.1,4.6,16.5,3.9,11.6,18.4,11.6,7.1,8.2,8.3,8.3,100.0,,66,50800,4.4,13.5,22.8,8.6,13.5,14.3,4.7,100.0,12.7,9.6,2.7,0.5,11.0,7.2,6.4,1.0,
57,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,,,,,,,,0.0,0.0,0.0,0.0,15.8,,,66,52200,,,,,,,,,,,,,,,,100.0,
845,328,257,71.0,41.0,5.0,24.0,6.0,25.0,109.0,103,65,63,59,66,84.0,8,16,47.0,6.0,14.0,5.0,10.0,156.0,4.0,36.0,72.0,2.0,18.0,8.0,1.0,0,8.4,10.3,3.5,16.9,1.2,4.8,13.4,12.2,7.7,7.5,7.0,7.8,100.0,,66,52500,3.1,6.2,6.0,2.1,4.9,1.7,3.5,100.0,1.2,11.0,22.0,0.6,7.0,3.1,0.4,0.0,
123,59,38,20.0,1.0,0.0,2.0,2.0,12.0,19.0,14,5,10,11,11,16.0,1,6,19.0,7.0,7.0,5.0,0.0,26.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0,16.8,1.9,0.0,28.6,2.5,15.0,16.4,11.4,4.1,8.1,8.9,8.9,100.0,,66,52750,2.6,15.8,16.7,11.7,11.7,8.3,0.0,100.0,1.8,0.0,1.8,1.8,2.8,5.6,2.8,0.0,
3997,1372,1051,653.0,153.0,25.0,93.0,109.0,184.0,787.0,416,283,309,325,332,493.0,37,72,842.0,30.0,655.0,143.0,12.0,1627.0,0.0,0.0,0.0,6.0,145.0,78.0,17.0,2,16.5,8.7,3.6,13.2,4.5,7.5,20.3,10.4,7.1,7.7,8.1,8.3,100.0,,66,53000,3.5,6.9,22.8,1.4,30.2,6.6,0.6,100.0,0.0,0.0,0.0,0.4,13.9,7.5,1.6,0.1,
