alias,dataset,variable
E_TOTPOP,dpgu,DP1_0001C
E_HU,dpgu,DP4_0001C
E_HH,dpgu,DP1_0135C
E_POV150,dpgu,DP3_0151C
E_UNEMP,dpgu,DP3_0005C
E_HBURD,dpgu,DP4_0125C + DP4_0126C
E_NOHSDP,dpgu,DP2_0008C + DP2_0009C
E_UNINSUR,dpgu,DP3_0068C
E_AGE65,dpgu,DP1_0024C
E_AGE17,dpgu,DP1_0002C + DP1_0003C + DP1_0004C + DP1_0005C
E_DISABL,dpgu,DP2_0102C
E_SNGPNT,dpgu,DP1_0141C + DP1_0143C
E_LIMENG,dpgu,DP2_0178C + DP2_0182C + DP2_0185C + DP2_0188C + DP2_0191C
E_MUNIT,dpgu,DP4_0022C + DP4_0023C + DP4_0024C
E_MOBILE,dpgu,DP4_0025C
E_CROWD,dpgu,DP4_0083C + DP4_0084C
E_NOVEH,dpgu,DP4_0077C
EP_UNEMP,dpgu,DP3_0009C
EP_MOBILE,dpgu,DP4_0025C
