state,place,DP1_0001C,DP4_0001C,DP1_0135C,DP3_0151C,DP3_0005C,DP4_0125C,DP4_0126C,DP2_0008C,DP2_0009C,DP3_0068C,DP1_0024C,DP1_0002C,DP1_0003C,DP1_0004C,DP1_0005C,DP2_0102C,DP1_0141C,DP1_0143C,DP2_0178C,DP2_0182C,DP2_0185C,DP2_0188C,DP2_0191C,DP4_0022C,DP4_0023C,DP4_0024C,DP4_0025C,DP4_0083C,DP4_0084C,DP4_0077C,DP3_0009C,NAME,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,EP_UNEMP,EP_MOBILE,SPL_E_HU,RPL_E_HU,SPL_E_HH,RPL_E_HH,SPL_E_POV150,RPL_E_POV150,SPL_E_UNEMP,RPL_E_UNEMP,SPL_E_HBURD,RPL_E_HBURD,SPL_E_NOHSDP,RPL_E_NOHSDP,SPL_E_UNINSUR,RPL_E_UNINSUR,SPL_E_AGE65,RPL_E_AGE65,SPL_E_AGE17,RPL_E_AGE17,SPL_E_DISABL,RPL_E_DISABL,SPL_E_SNGPNT,RPL_E_SNGPNT,SPL_E_LIMENG,RPL_E_LIMENG,SPL_E_MUNIT,RPL_E_MUNIT,SPL_E_MOBILE,RPL_E_MOBILE,SPL_E_CROWD,RPL_E_CROWD,SPL_E_NOVEH,RPL_E_NOVEH,SPL_EP_UNEMP,RPL_EP_UNEMP,SPL_EP_MOBILE,RPL_EP_MOBILE
66,00100,3638,1214,1031,553.0,176.0,32.0,98.0,97.0,227.0,644.0,515,196,223,246,304,558.0,22,38,703.0,67.0,427.0,109.0,99.0,1.0,1.0,0.0,2.0,104.0,56.0,13.0,,"Adacao CDP, Guam",3638,1214,1031,553.0,176.0,130.0,324.0,644.0,515,969,558.0,60,1405.0,2.0,2.0,160.0,13.0,,2.0,1214,0.7544,1031,0.7544,553.0,0.5784,176.0,0.8235,130.0,0.8431,324.0,0.7843,644.0,0.7647,515,0.8947,969,0.614,558.0,0.8824,60,0.4649,1405.0,0.7647,2.0,0.3529,2.0,0.4412,160.0,0.5882,13.0,0.3235,,,2.0,0.4412
66,00850,771,275,248,180.0,55.0,4.0,25.0,11.0,57.0,119.0,83,54,57,63,62,124.0,18,17,49.0,15.0,18.0,5.0,11.0,6.0,5.0,59.0,1.0,17.0,21.0,6.0,,"Afame CDP, Guam",771,275,248,180.0,55.0,29.0,68.0,119.0,83,236,124.0,35,98.0,70.0,1.0,38.0,6.0,,1.0,275,0.1754,248,0.2018,180.0,0.2255,55.0,0.3333,29.0,0.2647,68.0,0.1765,119.0,0.2353,83,0.1842,236,0.193,124.0,0.2745,35,0.2895,98.0,0.1765,70.0,0.6667,1.0,0.2843,38.0,0.1961,6.0,0.1667,,,1.0,0.2843
66,04000,3616,1210,1078,553.0,165.0,22.0,72.0,69.0,223.0,467.0,465,233,242,302,282,551.0,39,82,329.0,93.0,72.0,131.0,27.0,65.0,43.0,83.0,1.0,101.0,84.0,55.0,,"Agana Heights CDP, Guam",3616,1210,1078,553.0,165.0,94.0,292.0,467.0,465,1059,551.0,121,652.0,191.0,1.0,185.0,55.0,,1.0,1210,0.7368,1078,0.8246,553.0,0.5784,165.0,0.7647,94.0,0.6667,292.0,0.7059,467.0,0.6275,465,0.8246,1059,0.7368,551.0,0.8627,121,0.7544,652.0,0.4902,191.0,0.8235,1.0,0.2843,185.0,0.7549,55.0,0.8627,,,1.0,0.2843
66,06600,3292,1149,947,749.0,195.0,18.0,57.0,78.0,263.0,456.0,474,262,253,261,254,606.0,48,68,373.0,87.0,144.0,112.0,26.0,40.0,4.0,60.0,6.0,105.0,75.0,65.0,,"Agat CDP, Guam",3292,1149,947,749.0,195.0,75.0,341.0,456.0,474,1030,606.0,116,742.0,104.0,6.0,180.0,65.0,,6.0,1149,0.7018,947,0.6667,749.0,0.7843,195.0,0.9314,75.0,0.5196,341.0,0.8235,456.0,0.6078,474,0.8596,1030,0.7018,606.0,0.902,116,0.7193,742.0,0.5686,104.0,0.7451,6.0,0.7255,180.0,0.7157,65.0,0.9216,,,6.0,0.7255
66,07600,2385,678,592,503.0,118.0,16.0,54.0,66.0,172.0,442.0,217,203,234,205,181,286.0,37,54,399.0,36.0,196.0,157.0,5.0,1.0,0.0,0.0,8.0,77.0,75.0,20.0,,"Anao CDP, Guam",2385,678,592,503.0,118.0,70.0,238.0,442.0,217,823,286.0,91,793.0,1.0,8.0,152.0,20.0,,8.0,678,0.4386,592,0.4386,503.0,0.5098,118.0,0.5588,70.0,0.4804,238.0,0.549,442.0,0.5686,217,0.4561,823,0.5088,286.0,0.5294,91,0.5877,793.0,0.6078,1.0,0.2255,8.0,0.7745,152.0,0.5294,20.0,0.4118,,,8.0,0.7745
66,07900,1973,670,435,39.0,5.0,0.0,0.0,5.0,9.0,52.0,22,176,155,117,146,23.0,6,12,43.0,0.0,34.0,4.0,4.0,4.0,0.0,1.0,1.0,10.0,5.0,7.0,,"Andersen AFB CDP, Guam",1973,670,435,39.0,5.0,0.0,14.0,52.0,22,594,23.0,18,85.0,5.0,1.0,15.0,7.0,,1.0,670,0.4211,435,0.3684,39.0,0.098,5.0,0.098,0.0,0.049,14.0,0.0882,52.0,0.098,22,0.0877,594,0.4386,23.0,0.098,18,0.0965,85.0,0.1373,5.0,0.4314,1.0,0.2843,15.0,0.098,7.0,0.2059,,,1.0,0.2843
66,09500,5224,2443,2023,,,,,,,,653,264,319,350,274,,36,172,,,,,,,,,,,,,,"Apotgan CDP, Guam",5224,2443,2023,,,,,,653,1207,,208,,,,,,,,2443,1.0,2023,1.0,,,,,,,,,,,653,0.9474,1207,0.8421,,,208,0.9825,,,,,,,,,,,,,,
66,09850,2930,809,627,34.0,4.0,0.0,0.0,5.0,3.0,11.0,12,275,314,228,158,9.0,10,29,14.0,0.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,3.0,,"Apra Harbor CDP, Guam",2930,809,627,34.0,4.0,0.0,8.0,11.0,12,975,9.0,39,24.0,2.0,0.0,7.0,3.0,,0.0,809,0.5088,627,0.5088,34.0,0.0784,4.0,0.0784,0.0,0.049,8.0,0.0588,11.0,0.0588,12,0.0526,975,0.6316,9.0,0.0588,39,0.3509,24.0,0.0588,2.0,0.3529,0.0,0.0882,7.0,0.0784,3.0,0.1176,,,0.0,0.0882
66,12450,860,270,242,180.0,38.0,4.0,17.0,9.0,62.0,109.0,92,70,76,78,61,93.0,10,22,78.0,22.0,8.0,43.0,5.0,1.0,0.0,0.0,2.0,28.0,13.0,3.0,,"Asan CDP, Guam",860,270,242,180.0,38.0,21.0,71.0,109.0,92,285,93.0,32,156.0,1.0,2.0,41.0,3.0,,2.0,270,0.1579,242,0.1754,180.0,0.2255,38.0,0.2157,21.0,0.1961,71.0,0.1961,109.0,0.1961,92,0.2281,285,0.2456,93.0,0.1765,32,0.2368,156.0,0.2745,1.0,0.2255,2.0,0.4412,41.0,0.2157,3.0,0.1176,,,2.0,0.4412
66,15800,3921,1056,929,972.0,251.0,34.0,93.0,122.0,380.0,741.0,346,302,322,380,341,514.0,30,116,729.0,99.0,497.0,109.0,22.0,1.0,1.0,0.0,8.0,157.0,147.0,63.0,,"Astumbo CDP, Guam",3921,1056,929,972.0,251.0,127.0,502.0,741.0,346,1345,514.0,146,1456.0,2.0,8.0,304.0,63.0,,8.0,1056,0.6491,929,0.6491,972.0,0.9412,251.0,0.9608,127.0,0.8039,502.0,0.9608,741.0,0.8039,346,0.614,1345,0.9298,514.0,0.8039,146,0.8246,1456.0,0.8039,2.0,0.3529,8.0,0.7745,304.0,0.9608,63.0,0.902,,,8.0,0.7745
