state,place,DP1_0001C,DP4_0001C,DP1_0135C,DP3_0151C,DP3_0005C,DP4_0125C,DP4_0126C,DP2_0008C,DP2_0009C,DP3_0068C,DP1_0024C,DP1_0002C,DP1_0003C,DP1_0004C,DP1_0005C,DP2_0102C,DP1_0141C,DP1_0143C,DP2_0178C,DP2_0182C,DP2_0185C,DP2_0188C,DP2_0191C,DP2_0151C,DP4_0022C,DP4_0023C,DP4_0024C,DP4_0025C,DP4_0083C,DP4_0084C,DP4_0077C,DP3_0151P,DP3_0009P,DP4_0125P,DP4_0126P,DP2_0008P,DP2_0009P,DP3_0068P,DP1_0024P,DP1_0002P,DP1_0003P,DP1_0004P,DP1_0005P,DP2_0101P,DP1_0141P,NAME_x,DP1_0143P,DP2_0178P,DP2_0182P,DP2_0185P,DP2_0188P,DP2_0191P,DP2_0151P,DP4_0022P,DP4_0023P,DP4_0024P,DP4_0025P,DP4_0083P,DP4_0084P,DP4_0077P,DP1_0128P,NAME_y,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,SPL_E_HU,RPL_E_HU,SPL_E_HH,RPL_E_HH,SPL_E_POV150,RPL_E_POV150,SPL_E_UNEMP,RPL_E_UNEMP,SPL_E_HBURD,RPL_E_HBURD,SPL_E_NOHSDP,RPL_E_NOHSDP,SPL_E_UNINSUR,RPL_E_UNINSUR,SPL_E_AGE65,RPL_E_AGE65,SPL_E_AGE17,RPL_E_AGE17,SPL_E_DISABL,RPL_E_DISABL,SPL_E_SNGPNT,RPL_E_SNGPNT,SPL_E_LIMENG,RPL_E_LIMENG,SPL_E_MINRTY,RPL_E_MINRTY,SPL_E_MUNIT,RPL_E_MUNIT,SPL_E_MOBILE,RPL_E_MOBILE,SPL_E_CROWD,RPL_E_CROWD,SPL_E_NOVEH,RPL_E_NOVEH,SPL_E_GROUPQ,RPL_E_GROUPQ,SPL_EP_POV150,RPL_EP_POV150,SPL_EP_UNEMP,RPL_EP_UNEMP,SPL_EP_HBURD,RPL_EP_HBURD,SPL_EP_NOHSDP,RPL_EP_NOHSDP,SPL_EP_UNINSUR,RPL_EP_UNINSUR,SPL_EP_AGE65,RPL_EP_AGE65,SPL_EP_AGE17,RPL_EP_AGE17,SPL_EP_DISABL,RPL_EP_DISABL,SPL_EP_SNGPNT,RPL_EP_SNGPNT,SPL_EP_LIMENG,RPL_EP_LIMENG,SPL_EP_MINRTY,RPL_EP_MINRTY,SPL_EP_MUNIT,RPL_EP_MUNIT,SPL_EP_MOBILE,RPL_EP_MOBILE,SPL_EP_CROWD,RPL_EP_CROWD,SPL_EP_NOVEH,RPL_EP_NOVEH,SPL_EP_GROUPQ,RPL_EP_GROUPQ,SPL_EPL_POV150,RPL_EPL_POV150,SPL_EPL_UNEMP,RPL_EPL_UNEMP,SPL_EPL_HBURD,RPL_EPL_HBURD,SPL_EPL_NOHSDP,RPL_EPL_NOHSDP,SPL_EPL_UNINSUR,RPL_EPL_UNINSUR,SPL_SPL_THEME1,RPL_SPL_THEME1,SPL_RPL_THEME1,RPL_RPL_THEME1,SPL_EPL_AGE65,RPL_EPL_AGE65,SPL_EPL_AGE17,RPL_EPL_AGE17,SPL_EPL_DISABL,RPL_EPL_DISABL,SPL_EPL_SNGPNT,RPL_EPL_SNGPNT,SPL_EPL_LIMENG,RPL_EPL_LIMENG,SPL_SPL_THEME2,RPL_SPL_THEME2,SPL_RPL_THEME2,RPL_RPL_THEME2,SPL_EPL_MINRTY,RPL_EPL_MINRTY,SPL_SPL_THEME3,RPL_SPL_THEME3,SPL_RPL_THEME3,RPL_RPL_THEME3,SPL_EPL_MUNIT,RPL_EPL_MUNIT,SPL_EPL_MOBILE,RPL_EPL_MOBILE,SPL_EPL_CROWD,RPL_EPL_CROWD,SPL_EPL_NOVEH,RPL_EPL_NOVEH,SPL_EPL_GROUPQ,RPL_EPL_GROUPQ,SPL_SPL_THEME4,RPL_SPL_THEME4,SPL_RPL_THEME4,RPL_RPL_THEME4,SPL_SPL_THEMES,RPL_SPL_THEMES,SPL_RPL_THEMES,RPL_RPL_THEMES,SPL_F_POV150,RPL_F_POV150,SPL_F_UNEMP,RPL_F_UNEMP,SPL_F_HBURD,RPL_F_HBURD,SPL_F_NOHSDP,RPL_F_NOHSDP,SPL_F_UNINSUR,RPL_F_UNINSUR,SPL_F_THEME1,RPL_F_THEME1,SPL_F_AGE65,RPL_F_AGE65,SPL_F_AGE17,RPL_F_AGE17,SPL_F_DISABL,RPL_F_DISABL,SPL_F_SNGPNT,RPL_F_SNGPNT,SPL_F_LIMENG,RPL_F_LIMENG,SPL_F_THEME2,RPL_F_THEME2,SPL_F_MINRTY,RPL_F_MINRTY,SPL_F_THEME3,RPL_F_THEME3,SPL_F_MUNIT,RPL_F_MUNIT,SPL_F_MOBILE,RPL_F_MOBILE,SPL_F_CROWD,RPL_F_CROWD,SPL_F_NOVEH,RPL_F_NOVEH,SPL_F_GROUPQ,RPL_F_GROUPQ,SPL_F_THEME4,RPL_F_THEME4,SPL_F_TOTAL,RPL_F_TOTAL
66,00100,3638,1214,1031,553.0,176.0,32.0,98.0,97.0,227.0,644.0,515,196,223,246,304,558.0,22,38,703.0,67.0,427.0,109.0,99.0,1426.0,1.0,1.0,0.0,2.0,104.0,56.0,13.0,15.3,10.2,4.6,14.0,4.1,9.5,18.0,14.2,5.4,6.1,6.8,8.4,100.0,2.1,,3.7,20.5,3.2,20.5,5.2,4.7,100.0,0.1,0.1,0.0,0.2,10.1,5.4,1.3,0.2,,3638,1214,1031,553.0,176.0,130.0,324.0,644.0,515,969,558.0,60,1405.0,1426.0,2.0,2.0,160.0,13.0,,15.3,10.2,18.6,13.6,18.0,14.2,26.700000000000003,100.0,5.800000000000001,54.10000000000001,100.0,0.2,0.2,15.5,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,True,True,True,True,True,,True,True,False,False,True,True,False,,,1214,0.7544,1031,0.7544,553.0,0.5784,176.0,0.8235,130.0,0.8431,324.0,0.7843,644.0,0.7647,515,0.8947,969,0.614,558.0,0.8824,60,0.4649,1405.0,0.7647,1426.0,0.7843,2.0,0.3529,2.0,0.4412,160.0,0.5882,13.0,0.3235,,,15.3,0.2353,10.2,0.5294,18.6,0.4118,13.6,0.4902,18.0,0.5882,14.2,0.8596,26.700000000000003,0.2281,100.0,0.5294,5.800000000000001,0.1228,54.10000000000001,0.5882,100.0,0.5294,0.2,0.2549,0.2,0.3039,15.5,0.3529,1.3,0.1078,0.2,0.4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5789,True,0.5789,True,0.5965,True,0.5789,True,0.5789,,,True,0.5351,True,0.5175,True,0.5789,True,0.5263,True,0.5789,,,True,0.5789,True,0.5789,False,0.2368,False,0.3684,True,0.5789,True,0.5877,False,0.3684,,,,
66,00850,771,275,248,180.0,55.0,4.0,25.0,11.0,57.0,119.0,83,54,57,63,62,124.0,18,17,49.0,15.0,18.0,5.0,11.0,130.0,6.0,5.0,59.0,1.0,17.0,21.0,6.0,23.4,16.4,2.9,17.9,2.3,11.8,16.0,10.8,7.0,7.4,8.2,8.0,100.0,7.3,,6.9,6.8,5.5,6.5,1.8,4.0,100.0,2.2,1.8,21.5,0.4,6.9,8.5,2.4,0.0,,771,275,248,180.0,55.0,29.0,68.0,119.0,83,236,124.0,35,98.0,130.0,70.0,1.0,38.0,6.0,,23.4,16.4,20.799999999999997,14.100000000000001,16.0,10.8,30.6,100.0,14.2,24.6,100.0,25.5,0.4,15.4,2.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,True,True,True,True,True,,True,True,True,False,True,True,False,,,275,0.1754,248,0.2018,180.0,0.2255,55.0,0.3333,29.0,0.2647,68.0,0.1765,119.0,0.2353,83,0.1842,236,0.193,124.0,0.2745,35,0.2895,98.0,0.1765,130.0,0.2353,70.0,0.6667,1.0,0.2843,38.0,0.1961,6.0,0.1667,,,23.4,0.6863,16.4,1.0,20.799999999999997,0.6863,14.100000000000001,0.5294,16.0,0.4314,10.8,0.5614,30.6,0.5526,100.0,0.5294,14.2,0.7544,24.6,0.2353,100.0,0.5294,25.5,0.902,0.4,0.4412,15.4,0.3333,2.4,0.2549,0.0,0.1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5789,True,0.5789,True,0.5965,True,0.5789,True,0.5789,,,True,0.5351,True,0.5175,True,0.5789,True,0.5263,True,0.5789,,,True,0.5789,True,0.5789,True,0.7368,False,0.3684,True,0.5789,True,0.5877,False,0.3684,,,,
66,04000,3616,1210,1078,553.0,165.0,22.0,72.0,69.0,223.0,467.0,465,233,242,302,282,551.0,39,82,329.0,93.0,72.0,131.0,27.0,593.0,65.0,43.0,83.0,1.0,101.0,84.0,55.0,15.5,10.1,3.7,12.0,3.0,9.7,13.3,12.9,6.4,6.7,8.4,7.8,100.0,3.6,,7.6,9.8,6.1,4.8,8.6,1.8,100.0,5.4,3.6,6.9,0.1,9.4,7.8,5.1,0.9,,3616,1210,1078,553.0,165.0,94.0,292.0,467.0,465,1059,551.0,121,652.0,593.0,191.0,1.0,185.0,55.0,,15.5,10.1,15.7,12.7,13.3,12.9,29.3,100.0,11.2,31.099999999999998,100.0,15.9,0.1,17.2,5.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,True,True,True,True,True,,True,True,True,False,True,True,True,,,1210,0.7368,1078,0.8246,553.0,0.5784,165.0,0.7647,94.0,0.6667,292.0,0.7059,467.0,0.6275,465,0.8246,1059,0.7368,551.0,0.8627,121,0.7544,652.0,0.4902,593.0,0.4902,191.0,0.8235,1.0,0.2843,185.0,0.7549,55.0,0.8627,,,15.5,0.2549,10.1,0.5,15.7,0.2157,12.7,0.3431,13.3,0.1961,12.9,0.7544,29.3,0.3772,100.0,0.5294,11.2,0.5,31.099999999999998,0.3333,100.0,0.5294,15.9,0.7843,0.1,0.2255,17.2,0.3922,5.1,0.5686,0.9,0.7368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5789,True,0.5789,True,0.5965,True,0.5789,True,0.5789,,,True,0.5351,True,0.5175,True,0.5789,True,0.5263,True,0.5789,,,True,0.5789,True,0.5789,True,0.7368,False,0.3684,True,0.5789,True,0.5877,True,0.8684,,,,
66,06600,3292,1149,947,749.0,195.0,18.0,57.0,78.0,263.0,456.0,474,262,253,261,254,606.0,48,68,373.0,87.0,144.0,112.0,26.0,734.0,40.0,4.0,60.0,6.0,105.0,75.0,65.0,23.0,14.3,3.5,11.1,3.8,12.9,14.1,14.4,8.0,7.7,7.9,7.7,100.0,5.1,,7.2,12.4,5.8,9.7,7.5,1.7,100.0,3.5,0.3,5.2,0.5,11.1,7.9,6.9,0.4,,3292,1149,947,749.0,195.0,75.0,341.0,456.0,474,1030,606.0,116,742.0,734.0,104.0,6.0,180.0,65.0,,23.0,14.3,14.6,16.7,14.1,14.4,31.3,100.0,12.3,37.1,100.0,9.0,0.5,19.0,6.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,True,True,True,True,True,,True,True,True,False,True,True,False,,,1149,0.7018,947,0.6667,749.0,0.7843,195.0,0.9314,75.0,0.5196,341.0,0.8235,456.0,0.6078,474,0.8596,1030,0.7018,606.0,0.902,116,0.7193,742.0,0.5686,734.0,0.5882,104.0,0.7451,6.0,0.7255,180.0,0.7157,65.0,0.9216,,,23.0,0.6471,14.3,0.9412,14.6,0.1471,16.7,0.7255,14.1,0.3431,14.4,0.8772,31.3,0.6404,100.0,0.5294,12.3,0.614,37.1,0.402,100.0,0.5294,9.0,0.6863,0.5,0.549,19.0,0.4804,6.9,0.8235,0.4,0.5877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5789,True,0.5789,True,0.5965,True,0.5789,True,0.5789,,,True,0.5351,True,0.5175,True,0.5789,True,0.5263,True,0.5789,,,True,0.5789,True,0.5789,True,0.7368,False,0.3684,True,0.5789,True,0.5877,False,0.3684,,,,
66,07600,2385,678,592,503.0,118.0,16.0,54.0,66.0,172.0,442.0,217,203,234,205,181,286.0,37,54,399.0,36.0,196.0,157.0,5.0,926.0,1.0,0.0,0.0,8.0,77.0,75.0,20.0,21.4,12.2,4.3,14.7,4.9,12.7,19.0,9.1,8.5,9.8,8.6,7.6,100.0,6.3,,9.1,18.4,2.7,14.6,11.7,0.4,100.0,0.1,0.0,0.0,1.2,13.1,12.7,3.4,0.2,,2385,678,592,503.0,118.0,70.0,238.0,442.0,217,823,286.0,91,793.0,926.0,1.0,8.0,152.0,20.0,,21.4,12.2,19.0,17.6,19.0,9.1,34.5,100.0,15.399999999999999,47.79999999999999,100.0,0.1,1.2,25.799999999999997,3.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,True,True,True,True,True,,True,True,False,True,True,True,False,,,678,0.4386,592,0.4386,503.0,0.5098,118.0,0.5588,70.0,0.4804,238.0,0.549,442.0,0.5686,217,0.4561,823,0.5088,286.0,0.5294,91,0.5877,793.0,0.6078,926.0,0.6667,1.0,0.2255,8.0,0.7745,152.0,0.5294,20.0,0.4118,,,21.4,0.5784,12.2,0.7843,19.0,0.4706,17.6,0.8235,19.0,0.6863,9.1,0.2807,34.5,0.8246,100.0,0.5294,15.399999999999999,0.807,47.79999999999999,0.5098,100.0,0.5294,0.1,0.1765,1.2,0.7451,25.799999999999997,0.8137,3.4,0.4412,0.2,0.4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5789,True,0.5789,True,0.5965,True,0.5789,True,0.5789,,,True,0.5351,True,0.5175,True,0.5789,True,0.5263,True,0.5789,,,True,0.5789,True,0.5789,False,0.2368,True,0.8684,True,0.5789,True,0.5877,False,0.3684,,,,
66,07900,1973,670,435,39.0,5.0,0.0,0.0,5.0,9.0,52.0,22,176,155,117,146,23.0,6,12,43.0,0.0,34.0,4.0,4.0,93.0,4.0,0.0,1.0,1.0,10.0,5.0,7.0,21.4,6.6,-666666666.0,-666666666.0,4.5,8.0,29.4,1.1,8.9,7.9,5.9,7.4,100.0,1.4,,2.8,26.2,0.0,33.3,3.9,3.9,100.0,7.7,0.0,1.9,1.9,19.2,9.6,13.5,29.4,,1973,670,435,39.0,5.0,0.0,14.0,52.0,22,594,23.0,18,85.0,93.0,5.0,1.0,15.0,7.0,,21.4,6.6,-1333333332.0,12.5,29.4,1.1,30.1,100.0,4.199999999999999,67.3,100.0,9.6,1.9,28.799999999999997,13.5,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,,,670,0.4211,435,0.3684,39.0,0.098,5.0,0.098,0.0,0.049,14.0,0.0882,52.0,0.098,22,0.0877,594,0.4386,23.0,0.098,18,0.0965,85.0,0.1373,93.0,0.1569,5.0,0.4314,1.0,0.2843,15.0,0.098,7.0,0.2059,,,21.4,0.5784,6.6,0.0882,-1333333332.0,0.049,12.5,0.3137,29.4,1.0,1.1,0.0702,30.1,0.4912,100.0,0.5294,4.199999999999999,0.0877,67.3,0.8627,100.0,0.5294,9.6,0.7255,1.9,0.8725,28.799999999999997,0.8627,13.5,0.9804,29.4,0.9649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5789,True,0.5789,False,0.0965,True,0.5789,True,0.5789,,,True,0.5351,True,0.5175,True,0.5789,True,0.5263,True,0.5789,,,True,0.5789,True,0.5789,True,0.7368,True,0.8684,True,0.5789,True,0.5877,True,0.8684,,,,
66,09500,5224,2443,2023,,,,,,,,653,264,319,350,274,,36,172,,,,,,,,,,,,,,,,,,,,,12.5,5.1,6.1,6.7,5.2,,1.8,,8.5,,,,,,,,,,,,,,0.4,,5224,2443,2023,,,,,,653,1207,,208,,,,,,,,,,,,,12.5,23.099999999999998,,10.3,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,True,True,False,True,False,,False,False,False,False,False,False,False,,,2443,1.0,2023,1.0,,,,,,,,,,,653,0.9474,1207,0.8421,,,208,0.9825,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0.7193,23.099999999999998,0.1053,,,10.3,0.386,,,,,,,,,,,,,0.4,0.5877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0789,False,0.0789,False,0.0965,False,0.0789,False,0.0789,,,True,0.5351,True,0.5175,False,0.0789,True,0.5263,False,0.0789,,,False,0.0789,False,0.0789,False,0.2368,False,0.3684,False,0.0789,False,0.0877,False,0.3684,,,,
66,09850,2930,809,627,34.0,4.0,0.0,0.0,5.0,3.0,11.0,12,275,314,228,158,9.0,10,29,14.0,0.0,4.0,5.0,1.0,21.0,0.0,1.0,1.0,0.0,7.0,0.0,3.0,33.3,14.3,-666666666.0,-666666666.0,8.9,5.4,12.8,0.4,9.4,10.7,7.8,5.4,100.0,1.6,,4.6,15.9,0.0,12.1,15.2,3.0,100.0,0.0,3.0,3.0,0.0,21.2,0.0,9.1,28.3,,2930,809,627,34.0,4.0,0.0,8.0,11.0,12,975,9.0,39,24.0,21.0,2.0,0.0,7.0,3.0,,33.3,14.3,-1333333332.0,14.3,12.8,0.4,33.300000000000004,100.0,6.199999999999999,46.2,100.0,6.0,0.0,21.2,9.1,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,,False,True,True,True,True,,True,True,True,False,True,True,True,,,809,0.5088,627,0.5088,34.0,0.0784,4.0,0.0784,0.0,0.049,8.0,0.0588,11.0,0.0588,12,0.0526,975,0.6316,9.0,0.0588,39,0.3509,24.0,0.0588,21.0,0.0588,2.0,0.3529,0.0,0.0882,7.0,0.0784,3.0,0.1176,,,33.3,1.0,14.3,0.9412,-1333333332.0,0.049,14.3,0.5588,12.8,0.1373,0.4,0.0526,33.300000000000004,0.7544,100.0,0.5294,6.199999999999999,0.1404,46.2,0.4902,100.0,0.5294,6.0,0.6471,0.0,0.1078,21.2,0.6078,9.1,0.9314,28.3,0.9474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5789,True,0.5789,False,0.0965,True,0.5789,True,0.5789,,,False,0.0351,True,0.5175,True,0.5789,True,0.5263,True,0.5789,,,True,0.5789,True,0.5789,True,0.7368,False,0.3684,True,0.5789,True,0.5877,True,0.8684,,,,
66,12450,860,270,242,180.0,38.0,4.0,17.0,9.0,62.0,109.0,92,70,76,78,61,93.0,10,22,78.0,22.0,8.0,43.0,5.0,148.0,1.0,0.0,0.0,2.0,28.0,13.0,3.0,21.5,9.9,2.8,11.9,1.8,12.5,13.2,10.7,8.1,8.8,9.1,7.1,100.0,4.1,,9.1,10.1,6.2,2.3,12.2,1.4,100.0,0.4,0.0,0.0,0.8,11.8,5.5,1.3,0.8,,860,270,242,180.0,38.0,21.0,71.0,109.0,92,285,93.0,32,156.0,148.0,1.0,2.0,41.0,3.0,,21.5,9.9,14.7,14.3,13.2,10.7,33.1,100.0,13.2,32.2,100.0,0.4,0.8,17.3,1.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,True,True,True,True,True,,True,True,False,False,True,True,False,,,270,0.1579,242,0.1754,180.0,0.2255,38.0,0.2157,21.0,0.1961,71.0,0.1961,109.0,0.1961,92,0.2281,285,0.2456,93.0,0.1765,32,0.2368,156.0,0.2745,148.0,0.2745,1.0,0.2255,2.0,0.4412,41.0,0.2157,3.0,0.1176,,,21.5,0.6078,9.9,0.4412,14.7,0.1765,14.3,0.5588,13.2,0.1667,10.7,0.5263,33.1,0.7368,100.0,0.5294,13.2,0.6842,32.2,0.3529,100.0,0.5294,0.4,0.3529,0.8,0.6765,17.3,0.4118,1.3,0.1078,0.8,0.7193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5789,True,0.5789,True,0.5965,True,0.5789,True,0.5789,,,True,0.5351,True,0.5175,True,0.5789,True,0.5263,True,0.5789,,,True,0.5789,True,0.5789,False,0.2368,False,0.3684,True,0.5789,True,0.5877,False,0.3684,,,,
66,15800,3921,1056,929,972.0,251.0,34.0,93.0,122.0,380.0,741.0,346,302,322,380,341,514.0,30,116,729.0,99.0,497.0,109.0,22.0,1345.0,1.0,1.0,0.0,8.0,157.0,147.0,63.0,24.9,14.4,5.1,14.1,5.4,16.7,19.1,8.8,7.7,8.2,9.7,8.7,100.0,3.2,,12.5,20.2,4.7,23.7,5.2,1.0,100.0,0.1,0.1,0.0,0.8,16.9,15.9,6.8,0.2,,3921,1056,929,972.0,251.0,127.0,502.0,741.0,346,1345,514.0,146,1456.0,1345.0,2.0,8.0,304.0,63.0,,24.9,14.4,19.2,22.1,19.1,8.8,34.3,100.0,15.7,54.8,100.0,0.2,0.8,32.8,6.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,True,True,True,True,True,,True,True,False,False,True,True,False,,,1056,0.6491,929,0.6491,972.0,0.9412,251.0,0.9608,127.0,0.8039,502.0,0.9608,741.0,0.8039,346,0.614,1345,0.9298,514.0,0.8039,146,0.8246,1456.0,0.8039,1345.0,0.7647,2.0,0.3529,8.0,0.7745,304.0,0.9608,63.0,0.902,,,24.9,0.7255,14.4,0.9804,19.2,0.5098,22.1,0.9216,19.1,0.7059,8.8,0.2544,34.3,0.807,100.0,0.5294,15.7,0.8246,54.8,0.6275,100.0,0.5294,0.2,0.2549,0.8,0.6765,32.8,0.951,6.8,0.8039,0.2,0.4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5789,True,0.5789,True,0.5965,True,0.5789,True,0.5789,,,True,0.5351,True,0.5175,True,0.5789,True,0.5263,True,0.5789,,,True,0.5789,True,0.5789,False,0.2368,False,0.3684,True,0.5789,True,0.5877,False,0.3684,,,,
