state,place,DP1_0001C,DP4_0001C,DP1_0135C,DP3_0151C,DP3_0005C,DP4_0125C,DP4_0126C,DP2_0008C,DP2_0009C,DP3_0068C,DP1_0024C,DP1_0002C,DP1_0003C,DP1_0004C,DP1_0005C,DP2_0102C,DP1_0141C,DP1_0143C,DP2_0178C,DP2_0182C,DP2_0185C,DP2_0188C,DP2_0191C,DP2_0151C,DP4_0022C,DP4_0023C,DP4_0024C,DP4_0025C,DP4_0083C,DP4_0084C,DP4_0077C,DP1_0128C,DP3_0151P,DP3_0009P,DP4_0125P,DP4_0126P,DP2_0008P,DP2_0009P,DP3_0068P,DP1_0024P,DP1_0002P,DP1_0003P,DP1_0004P,DP1_0005P,DP2_0102P,NAME_x,DP1_0141P,DP1_0143P,DP2_0178P,DP2_0182P,DP2_0185P,DP2_0188P,DP2_0191P,DP2_0151P,DP4_0022P,DP4_0023P,DP4_0024P,DP4_0025P,DP4_0083P,DP4_0084P,DP4_0077P,DP1_0128P,DP2_0101P,NAME_y,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL
66,00100,3638,1214,1031,553.0,176.0,32.0,98.0,97.0,227.0,644.0,515,196,223,246,304,558.0,22,38,703.0,67.0,427.0,109.0,99.0,1426.0,1.0,1.0,0.0,2.0,104.0,56.0,13.0,6,15.3,10.2,4.6,14.0,4.1,9.5,18.0,14.2,5.4,6.1,6.8,8.4,15.6,,2.1,3.7,20.5,3.2,20.5,5.2,4.7,100.0,0.1,0.1,0.0,0.2,10.1,5.4,1.3,0.2,100.0,,3638,1214,1031,553.0,176.0,130.0,324.0,644.0,515,969.0,558.0,60.0,1405.0,1426.0,2.0,2.0,160.0,13.0,6,15.3,10.2,18.6,13.6,18.0,14.2,26.700000000000003,15.6,5.800000000000001,54.10000000000001,100.0,0.2,0.2,15.5,1.3,0.2,0.2041,0.5102,0.3617,0.4694,0.5714,2.1168,0.3404,0.8571,0.2143,0.7959,0.0909,0.5714,2.5296,0.449,0.5102,0.5102,0.5102,0.2245,0.2755,0.3265,0.0714,0.4375,1.3354,0.0816,1.3811999999999998,0.1915,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0
66,00850,771,275,248,180.0,55.0,4.0,25.0,11.0,57.0,119.0,83,54,57,63,62,124.0,18,17,49.0,15.0,18.0,5.0,11.0,130.0,6.0,5.0,59.0,1.0,17.0,21.0,6.0,0,23.4,16.4,2.9,17.9,2.3,11.8,16.0,10.8,7.0,7.4,8.2,8.0,16.7,,7.3,6.9,6.8,5.5,6.5,1.8,4.0,100.0,2.2,1.8,21.5,0.4,6.9,8.5,2.4,0.0,100.0,,771,275,248,180.0,55.0,29.0,68.0,119.0,83,236.0,124.0,35.0,98.0,130.0,70.0,1.0,38.0,6.0,0,23.4,16.4,20.799999999999997,14.100000000000001,16.0,10.8,30.6,16.7,14.2,24.6,100.0,25.5,0.4,15.4,2.4,0.0,0.6735,1.0,0.6596,0.5102,0.4082,3.2515,0.7872,0.5536,0.5446,0.9388,0.7455,0.2041,2.9865999999999997,0.7143,0.5102,0.5102,0.5102,0.898,0.4184,0.3061,0.2245,0.1339,1.9808999999999999,0.2449,2.2566,0.617,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,14.0
66,04000,3616,1210,1078,553.0,165.0,22.0,72.0,69.0,223.0,467.0,465,233,242,302,282,551.0,39,82,329.0,93.0,72.0,131.0,27.0,593.0,65.0,43.0,83.0,1.0,101.0,84.0,55.0,34,15.5,10.1,3.7,12.0,3.0,9.7,13.3,12.9,6.4,6.7,8.4,7.8,15.6,,3.6,7.6,9.8,6.1,4.8,8.6,1.8,100.0,5.4,3.6,6.9,0.1,9.4,7.8,5.1,0.9,100.0,,3616,1210,1078,553.0,165.0,94.0,292.0,467.0,465,1059.0,551.0,121.0,652.0,593.0,191.0,1.0,185.0,55.0,34,15.5,10.1,15.7,12.7,13.3,12.9,29.3,15.6,11.2,31.099999999999998,100.0,15.9,0.1,17.2,5.1,0.9,0.2245,0.4796,0.1489,0.3163,0.1633,1.3326000000000002,0.0851,0.75,0.3661,0.7959,0.4818,0.3061,2.6998999999999995,0.551,0.5102,0.5102,0.5102,0.7755,0.1939,0.3673,0.551,0.7321,2.6198,0.5918,1.7381000000000002,0.383,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,15.0
66,06600,3292,1149,947,749.0,195.0,18.0,57.0,78.0,263.0,456.0,474,262,253,261,254,606.0,48,68,373.0,87.0,144.0,112.0,26.0,734.0,40.0,4.0,60.0,6.0,105.0,75.0,65.0,14,23.0,14.3,3.5,11.1,3.8,12.9,14.1,14.4,8.0,7.7,7.9,7.7,18.8,,5.1,7.2,12.4,5.8,9.7,7.5,1.7,100.0,3.5,0.3,5.2,0.5,11.1,7.9,6.9,0.4,100.0,,3292,1149,947,749.0,195.0,75.0,341.0,456.0,474,1030.0,606.0,116.0,742.0,734.0,104.0,6.0,180.0,65.0,14,23.0,14.3,14.6,16.7,14.1,14.4,31.3,18.8,12.3,37.1,100.0,9.0,0.5,19.0,6.9,0.4,0.6327,0.9388,0.0745,0.7143,0.3163,2.6766,0.5106,0.875,0.6339,1.0,0.6,0.3776,3.4865000000000004,0.9592,0.5102,0.5102,0.5102,0.6735,0.5306,0.4592,0.8163,0.5804,3.06,0.7347,2.7147,0.766,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,14.0
66,07600,2385,678,592,503.0,118.0,16.0,54.0,66.0,172.0,442.0,217,203,234,205,181,286.0,37,54,399.0,36.0,196.0,157.0,5.0,926.0,1.0,0.0,0.0,8.0,77.0,75.0,20.0,5,21.4,12.2,4.3,14.7,4.9,12.7,19.0,9.1,8.5,9.8,8.6,7.6,12.3,,6.3,9.1,18.4,2.7,14.6,11.7,0.4,100.0,0.1,0.0,0.0,1.2,13.1,12.7,3.4,0.2,100.0,,2385,678,592,503.0,118.0,70.0,238.0,442.0,217,823.0,286.0,91.0,793.0,926.0,1.0,8.0,152.0,20.0,5,21.4,12.2,19.0,17.6,19.0,9.1,34.5,12.3,15.399999999999999,47.79999999999999,100.0,0.1,1.2,25.799999999999997,3.4,0.2,0.5612,0.7755,0.4255,0.8163,0.6735,3.252,0.8085,0.2679,0.8214,0.3061,0.8,0.4898,2.6852,0.5102,0.5102,0.5102,0.5102,0.1429,0.7347,0.8061,0.4184,0.4375,2.5396,0.4796,2.3085,0.6383,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,14.0
66,07900,1973,670,435,39.0,5.0,0.0,0.0,5.0,9.0,52.0,22,176,155,117,146,23.0,6,12,43.0,0.0,34.0,4.0,4.0,93.0,4.0,0.0,1.0,1.0,10.0,5.0,7.0,580,21.4,6.6,,,4.5,8.0,29.4,1.1,8.9,7.9,5.9,7.4,13.0,,1.4,2.8,26.2,0.0,33.3,3.9,3.9,100.0,7.7,0.0,1.9,1.9,19.2,9.6,13.5,29.4,100.0,,1973,670,435,39.0,5.0,0.0,14.0,52.0,22,594.0,23.0,18.0,85.0,93.0,5.0,1.0,15.0,7.0,580,21.4,6.6,,12.5,29.4,1.1,30.1,13.0,4.199999999999999,67.3,100.0,9.6,1.9,28.799999999999997,13.5,29.4,0.5612,0.051,,0.2857,1.0,,,0.0536,0.4821,0.4592,0.0545,0.8571,1.9064999999999999,0.102,0.5102,0.5102,0.5102,0.7143,0.8673,0.8571,0.9796,0.9643,4.3826,1.0,,,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,15.0
66,09500,5224,2443,2023,,,,,,,,653,264,319,350,274,,36,172,,,,,,,,,,,,,,19,,,,,,,,12.5,5.1,6.1,6.7,5.2,,,1.8,8.5,,,,,,,,,,,,,,0.4,,,5224,2443,2023,,,,,,653,1207.0,,208.0,,,,,,,19,,,,,,12.5,23.099999999999998,,10.3,,,,,,,0.4,,,,,,,,0.7143,0.0893,,0.3636,,,,,,,,,,,0.5804,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
66,09850,2930,809,627,34.0,4.0,0.0,0.0,5.0,3.0,11.0,12,275,314,228,158,9.0,10,29,14.0,0.0,4.0,5.0,1.0,21.0,0.0,1.0,1.0,0.0,7.0,0.0,3.0,830,33.3,14.3,,,8.9,5.4,12.8,0.4,9.4,10.7,7.8,5.4,10.5,,1.6,4.6,15.9,0.0,12.1,15.2,3.0,100.0,0.0,3.0,3.0,0.0,21.2,0.0,9.1,28.3,100.0,,2930,809,627,34.0,4.0,0.0,8.0,11.0,12,975.0,9.0,39.0,24.0,21.0,2.0,0.0,7.0,3.0,830,33.3,14.3,,14.3,12.8,0.4,33.300000000000004,10.5,6.199999999999999,46.2,100.0,6.0,0.0,21.2,9.1,28.3,1.0,0.9388,,0.5408,0.102,,,0.0357,0.75,0.102,0.1091,0.4694,1.4662,0.0612,0.5102,0.5102,0.5102,0.6327,0.0714,0.5918,0.9286,0.9464,3.1709,0.8367,,,1.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,13.0
66,12450,860,270,242,180.0,38.0,4.0,17.0,9.0,62.0,109.0,92,70,76,78,61,93.0,10,22,78.0,22.0,8.0,43.0,5.0,148.0,1.0,0.0,0.0,2.0,28.0,13.0,3.0,7,21.5,9.9,2.8,11.9,1.8,12.5,13.2,10.7,8.1,8.8,9.1,7.1,11.3,,4.1,9.1,10.1,6.2,2.3,12.2,1.4,100.0,0.4,0.0,0.0,0.8,11.8,5.5,1.3,0.8,100.0,,860,270,242,180.0,38.0,21.0,71.0,109.0,92,285.0,93.0,32.0,156.0,148.0,1.0,2.0,41.0,3.0,7,21.5,9.9,14.7,14.3,13.2,10.7,33.1,11.3,13.2,32.2,100.0,0.4,0.8,17.3,1.3,0.8,0.5918,0.4184,0.1064,0.5408,0.1327,1.7901,0.2766,0.5179,0.7321,0.1939,0.6727,0.3265,2.4431000000000003,0.3469,0.5102,0.5102,0.5102,0.3265,0.6633,0.3878,0.0714,0.7143,2.1633,0.3061,1.4398,0.2553,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0
66,15800,3921,1056,929,972.0,251.0,34.0,93.0,122.0,380.0,741.0,346,302,322,380,341,514.0,30,116,729.0,99.0,497.0,109.0,22.0,1345.0,1.0,1.0,0.0,8.0,157.0,147.0,63.0,6,24.9,14.4,5.1,14.1,5.4,16.7,19.1,8.8,7.7,8.2,9.7,8.7,13.2,,3.2,12.5,20.2,4.7,23.7,5.2,1.0,100.0,0.1,0.1,0.0,0.8,16.9,15.9,6.8,0.2,100.0,,3921,1056,929,972.0,251.0,127.0,502.0,741.0,346,1345.0,514.0,146.0,1456.0,1345.0,2.0,8.0,304.0,63.0,6,24.9,14.4,19.2,22.1,19.1,8.8,34.3,13.2,15.7,54.8,100.0,0.2,0.8,32.8,6.8,0.2,0.7143,0.9796,0.4681,0.9184,0.6939,3.7743,0.9362,0.2411,0.8036,0.5,0.8182,0.6122,2.9751,0.6939,0.5102,0.5102,0.5102,0.2245,0.6633,0.949,0.7959,0.4375,3.0702,0.7551,2.8954,0.8511,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0
